download,upload,ping,timestamp,bytes_sent,bytes_received
478444682.28684914,23738867.28513185,15.862,2023-05-10T21:17:01.833888Z,29974528,409373932
469854991.42876476,24889583.735808566,26.782,2023-05-11T21:17:01.441369Z,31260672,409373932
414007003.22692573,23622193.782351337,27.983,2023-05-12T21:17:01.384896Z,29605888,409373932
381442408.14575076,24004205.84156506,16.518,2023-05-13T21:17:01.696813Z,30121984,409373932
337208069.0892915,22125732.14052025,34.285,2023-05-14T21:17:01.679086Z,28270592,409373932
480718567.1554659,24370854.328980926,25.475,2023-05-15T21:17:01.311210Z,30547968,409373932
756564482.4945916,23446524.603407428,19.71,2023-05-16T21:17:01.289962Z,29425664,409373932
680919191.6536975,23074856.695367124,27.304,2023-05-17T21:17:02.043719Z,29474816,409373932
526994577.91098654,23794094.38031679,29.212,2023-05-18T21:17:01.712603Z,30687232,409373932
533708516.4199795,23959510.099127043,15.857,2023-05-19T21:17:02.218130Z,30400512,409373932
791220347.1865696,24082453.47011311,25.449,2023-05-20T21:17:01.478771Z,30195712,409373932
441507953.5594289,24180127.98877947,32.822,2023-05-21T21:17:01.954743Z,30973952,409373932
465458631.92830586,22382275.680735946,26.743,2023-05-22T21:17:01.954811Z,28221440,409373932
818687207.2626587,23669623.614548393,26.201,2023-05-23T21:17:02.145812Z,30294016,409373932
